brand_slug,display_name,products_merged_json,products_db,scraper_type,base_url
first_phorm,1st Phorm,533,533,shopify_api,https://www.1stphorm.com
ghost_lifestyle,Ghost Lifestyle,417,433,shopify_api,https://ghostlifestyle.com
optimum_nutrition,Optimum Nutrition,387,448,playwright,https://www.optimumnutrition.com
maryruth_organics,MaryRuth Organics,268,268,shopify_api,https://www.maryruthorganics.com
true_nutrition,True Nutrition,238,238,shopify_api,https://www.truenutrition.com
five_percent_nutrition,5% Nutrition,229,229,shopify_api,https://5percentnutrition.com
nutrabio,NutraBio,201,201,shopify_api,https://www.nutrabio.com
raw_nutrition,RAW Nutrition,190,223,shopify_api,https://www.getrawnutrition.com
cellucor,Cellucor (C4),188,212,shopify_api,https://www.cellucor.com
naked_nutrition,Naked Nutrition,175,175,shopify_api,https://nakednutrition.com
redcon1,Redcon1,169,182,shopify_api,https://redcon1.com
liquid_iv,Liquid I.V.,150,152,shopify_hydrogen,https://www.liquid-iv.com
alpha_lion,Alpha Lion,143,154,shopify_api,https://alphalion.com
promix,Promix Nutrition,142,168,shopify_api,https://promixnutrition.com
terrasoul_superfoods,Terrasoul Superfoods,141,141,shopify_api,https://terrasoul.com
muscletech,MuscleTech,140,160,shopify_api,https://www.muscletech.com
compex,Compex,138,138,shopify_api,https://www.compex.com
mud_wtr,MUD/WTR,127,127,shopify_api,https://mudwtr.com
primal_kitchen,Primal Kitchen,116,116,shopify_api,https://www.primalkitchen.com
therabody,Therabody,112,141,shopify_api,https://www.therabody.com
four_sigmatic,Four Sigmatic,107,107,shopify_api,https://us.foursigmatic.com
body_science_au,Body Science AU,104,104,shopify_api,https://www.bodyscience.com.au
orgain,Orgain,104,104,shopify_api,https://orgain.com
momentous,Momentous,96,150,shopify_api,https://www.livemomentous.com
gorilla_mind,Gorilla Mind,92,96,shopify_api,https://gorillamind.com
soylent,Soylent,78,78,shopify_api,https://soylent.com
huge_supplements,Huge Supplements,73,73,shopify_api,https://hugesupplements.com
transparent_labs,Transparent Labs,72,100,shopify_api,https://www.transparentlabs.com
manta_sleep,Manta Sleep,70,70,shopify_api,https://mantasleep.com
olly,OLLY,69,69,shopify_api,https://www.olly.com
bare_performance,Bare Performance,61,82,shopify_api,https://bareperformancenutrition.com
bloom_nutrition,Bloom Nutrition,61,61,shopify_api,https://bloomnu.com
jacked_factory,Jacked Factory,61,61,shopify_api,https://jackedfactory.com
bsn,BSN,60,75,playwright,https://www.bsnsupplements.com
kaged,Kaged,60,74,shopify_api,https://kaged.com
musclepharm,MusclePharm,59,59,shopify_api,https://www.musclepharm.com
kos,KOS,58,58,shopify_api,https://kos.com
hyperice,Hyperice,57,80,shopify_api,https://hyperice.com
pescience,PEScience,53,53,shopify_api,https://pescience.com
swolverine,Swolverine,51,51,shopify_api,https://swolverine.com
cymbiotika,Cymbiotika,48,68,shopify_api,https://cymbiotika.com
renue_by_science,Renue By Science,48,48,shopify_api,https://renuebyscience.com
navitas_organics,Navitas Organics,45,45,shopify_api,https://navitasorganics.com
skratch_labs,Skratch Labs,44,56,shopify_api,https://www.skratchlabs.com
dymatize,Dymatize,42,50,playwright,https://www.dymatize.com
novos_labs,NOVOS Labs,40,44,woocommerce,https://novoslabs.com
onnit,Onnit,39,51,shopify_api,https://www.onnit.com
drip_drop,DripDrop,38,38,shopify_api,https://www.dripdrop.com
vital_proteins,Vital Proteins,38,47,shopify_api,https://www.vitalproteins.com
owyn,OWYN,31,31,shopify_api,https://liveowyn.com
ryse_supplements,Ryse Supplements,30,38,shopify_api,https://rysesupps.com
amazing_grass,Amazing Grass,28,28,shopify_api,https://www.amazinggrass.com
ritual,Ritual,28,28,shopify_api,https://ritual.com
myprotein,MyProtein,27,42,playwright,https://www.myprotein.com
magic_mind,Magic Mind,26,28,shopify_api,https://www.magicmind.com
performance_lab,Performance Lab,24,24,shopify_api,https://www.performancelab.com
nuun,Nuun,23,32,shopify_api,https://nuunlife.com
nuzest,Nuzest,23,25,shopify_api,https://www.nuzest-usa.com
hilma,Hilma,19,19,shopify_api,https://hilma.co
key_nutrients,Key Nutrients,19,19,shopify_api,https://www.keynutrients.com
nested_naturals,Nested Naturals,15,15,shopify_api,https://www.nestednaturals.com
tru_niagen,Tru Niagen,13,14,shopify_api,https://www.truniagen.com
ample,Ample,11,11,shopify_api,https://amplemeal.com
elysium,Elysium Health,10,10,shopify_api,https://www.elysiumhealth.com
vega,Vega,9,16,shopify_api,https://myvega.com
